id,pseudo,age,imageUrl,aspectRatio,verified,bio,memberSince,reliability,events,friends,badges,city
sg1,clara.m,34,https://images.unsplash.com/photo-1534528741775-53994a69daeb?w=800&q=85&auto=format&fit=crop,0.68,1,"Passionnée de randonnée et de photographie. Toujours partante pour de nouvelles aventures !",2022,4.0,5,10,Ponctuelle|Amicale|Exploratrice,Annecy
sg2,lucasb,28,https://images.unsplash.com/photo-1506794778202-cad84cf45f1d?w=800&q=85&auto=format&fit=crop,0.92,1,"Créatif, cinéma et événements entre amis. Toujours un projet en tête.",2021,4.5,12,24,Organisateur|Sociable,Lyon
sg3,ines.k,25,https://images.unsplash.com/photo-1529626455594-4ff0802cfb7e?w=800&q=85&auto=format&fit=crop,0.75,0,"Yoga, lecture et bons restos. J’aime découvrir la ville autrement.",2023,4.2,3,8,Calme|Curieuse,Genève
sg4,hugo_p,31,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=800&q=85&auto=format&fit=crop,0.82,1,"Trail et musique live. Toujours partant pour un concert ou une rando.",2020,4.8,18,42,Sportif|Fiable,Lausanne
sg5,emma.r,22,https://images.unsplash.com/photo-1517841905240-472988babdf9?w=800&q=85&auto=format&fit=crop,0.65,1,"Étudiante en design, j’adore les expos et les cafés cachés.",2024,3.9,2,15,Créative,Paris
sg6,nath_co,27,https://images.unsplash.com/photo-1500648767791-00dcc994a43e?w=800&q=85&auto=format&fit=crop,0.88,0,"Développeur le jour, gamer le soir. Apéros et jeux de société bienvenus.",2022,4.1,7,19,Disponible|Cool,Bordeaux
sg7,lea.fnt,24,https://images.unsplash.com/photo-1524504388940-b1c1722653e1?w=800&q=85&auto=format&fit=crop,0.7,1,"Danse et voyages courts le week-end. Toujours avec mon appareil photo.",2021,4.6,9,22,Énergique|Ponctuelle,Genève
sg8,tom.w,33,https://images.unsplash.com/photo-1472099645785-5658abf4ff4e?w=800&q=85&auto=format&fit=crop,0.95,1,"Cuisine du monde et vin nature. J’organise des dîners à thème.",2019,4.7,22,35,Hôte|Gourmand,Lyon
sg9,sarahb,29,https://images.unsplash.com/photo-1488426862026-3ee34a7d66df?w=800&q=85&auto=format&fit=crop,0.72,0,"Marche urbaine et bénévolat le samedi. Rencontrer des gens authentiques.",2023,4.3,4,11,Bienveillante,Marseille
sg10,max.leroy,26,https://images.unsplash.com/photo-1463453091185-61582044d556?w=800&q=85&auto=format&fit=crop,0.78,1,"Skate et street art. Toujours une idée de spot à explorer.",2022,4.0,6,17,Spontané|Explorateur,Lille
sg11,chloe.d,23,https://images.unsplash.com/photo-1544005313-94ddf0286df2?w=800&q=85&auto=format&fit=crop,0.66,1,"Mode durable et brunchs. J’aime les petits commerces de quartier.",2024,4.4,3,14,Stylée|Amicale,Nantes
sg12,j.morel,30,https://images.unsplash.com/photo-1504257432389-52343af06ae3?w=800&q=85&auto=format&fit=crop,0.85,0,"Escalade et vanlife le temps d’un week-end. Cherche partenaires de grimpe.",2021,4.2,11,28,Aventurier|Fiable,Chamonix
ep1,leo.d,30,https://i.pravatar.cc/300?img=12,0.8,1,"Rando urbaine et photos le soir.",2020,4.7,16,31,Ponctuel|Calme,Genève
ep2,camille.r,27,https://i.pravatar.cc/300?img=45,0.72,1,"Architecture et cafés de quartier.",2022,4.4,8,19,Curieuse|Sympa,Lyon
ep3,antoine.v,32,https://i.pravatar.cc/300?img=33,0.85,0,"Trail léger et bons plans resto.",2019,4.3,21,34,Fiable|Sociable,Annecy
ep4,kevin.m,28,https://i.pravatar.cc/300?img=14,0.78,1,"Vélo et podcasts en montagne.",2021,4.1,9,16,Sportif,Lausanne
ep5,sam.ou,31,https://i.pravatar.cc/300?img=59,0.88,1,"Organisation d’équipe et afterworks.",2018,4.9,24,40,Organisateur,Genève
ep6,alex.k,26,https://i.pravatar.cc/300?img=68,0.74,0,"UX et sorties créatives.",2023,4.2,5,12,Créatif,Nyon
